"Запретить вырубку лесов в национальном парке. Вырубка лесов приводит к исчезновению редких видов животных и ухудшению экологической ситуации. Требуем ввести мораторий на вырубку в охраняемых территориях.","Экология"
"Установить дополнительные урны и контейнеры для раздельного сбора мусора в городе. Это снизит уровень загрязнения улиц и повысит процент переработки отходов.","Экология"
"Снизить стоимость проезда в общественном транспорте для студентов и пенсионеров. Высокая цена билетов ограничивает мобильность социально незащищённых групп.","Соцподдержка"
"Увеличить количество бюджетных мест в государственных вузах. Множество талантливых абитуриентов не могут поступить из-за высокой конкуренции и стоимости обучения.","Образование"
"Обновить оборудование и мебель в школах нашего района. Старые парты и техника мешают нормальному образовательному процессу.","Образование"
"Отремонтировать дорогу между городами N и M. Ямы и выбоины создают аварийные ситуации и портят автомобили.","Инфраструктура"
"Установить дополнительные пешеходные переходы и светофоры вблизи школ. Сейчас дети вынуждены переходить дорогу в опасных местах.","Инфраструктура"
"Ввести дополнительные меры поддержки малого бизнеса: налоговые каникулы и льготные кредиты. Это поможет сохранить рабочие места и развить местную экономику.","Экономика"
"Ограничить работу ночных заведений в жилых кварталах после 23:00. Громкая музыка и шум мешают жителям отдыхать.","Городская среда"
"Увеличить количество врачей и современного оборудования в городской поликлинике. Очереди растягиваются на недели, пациенты не получают своевременную помощь.","Здравоохранение"
"Организовать бесплатные кружки и спортивные секции для детей из малообеспеченных семей. Это поможет развивать таланты и снизить уровень подростковой преступности.","Соцподдержка"
"Установить зарядные станции для электромобилей в центре города и на выездах. Это стимулирует переход на экологичный транспорт.","Экология"
"Создать новые зелёные зоны и парки на месте заброшенных промышленных территорий. Горожанам не хватает комфортных мест для отдыха.","Городская среда"
"Ввести обязательные курсы по финансовой грамотности в старших классах школ. Молодёжь должна понимать, как работать с кредитами и сбережениями.","Образование"
"Ужесточить контроль за выбросами промышленных предприятий в реку. Загрязнённая вода угрожает здоровью жителей и экосистеме.","Экология"
"Организовать дополнительные маршруты общественного транспорта в часы пик. Сейчас автобусы переполнены, люди опаздывают на работу и учёбу.","Инфраструктура"
"Создать городскую программу субсидий на аренду жилья для молодых специалистов. Это поможет привлечь и удержать кадры в регионе.","Экономика"
"Открыть бесплатные курсы переквалификации для безработных. Это снизит уровень безработицы и поможет людям освоить новые профессии.","Соцподдержка"
"Оснастить все пешеходные переходы яркой разметкой и хорошим освещением. Это снизит количество наездов на пешеходов.","Безопасность"
"Установить камеры видеонаблюдения в общественных местах с высоким уровнем преступности. Наличие камер сдерживает правонарушения и помогает раскрывать преступления.","Безопасность"
"Ввести бесплатный проезд в общественном транспорте для школьников и студентов в учебные дни.","Соцподдержка"
"Установить пандусы и подъёмники во всех муниципальных учреждениях, чтобы люди с инвалидностью могли свободно ими пользоваться.","Соцподдержка"
"Создать городскую программу по озеленению дворов: высадка деревьев, установка газонов и уход за ними.","Экология"
"Организовать регулярную уборку мусора на берегах реки и установить дополнительные контейнеры для отходов.","Экология"
"Построить новый детский сад в быстрорастущем районе, где сейчас огромная очередь в существующие учреждения.","Инфраструктура"
"Отремонтировать старый спортивный зал в школе, заменить пол и оборудование, чтобы занятия были безопасными.","Образование"
"Создать в городе центр психологической помощи подросткам, работающий бесплатно и анонимно.","Здравоохранение"
"Организовать мобильные медицинские бригады для выезда к пожилым людям, которые не могут самостоятельно добраться до поликлиники.","Здравоохранение"
"Установить больше скамеек и навесов на автобусных остановках, чтобы люди могли комфортно ждать транспорт.","Городская среда"
"Оборудовать парки и скверы уличными тренажёрами и беговыми дорожками для бесплатных занятий спортом.","Городская среда"
"Ввести в школах дополнительные занятия по программированию и робототехнике для старших классов.","Образование"
"Создать грантовую программу поддержки молодых учёных и исследовательских проектов в местных вузах.","Образование"
"Организовать курсы по изучению иностранных языков при библиотеках, доступные для всех желающих.","Образование"
